UNITID,LATITUDE,LONGITUDE
154590,41.3089,-92.6483
154688,38.7773,-95.1882
154712,39.573,-95.1114
154721,38.5786,-97.6732
154749,38.0753,-97.3426
154855,38.358,-97.6674
155025,38.4126,-96.1795
155061,38.8724,-99.3405
155070,37.6207,-99.104
155089,37.6785,-97.3667
155140,38.9378,-95.2325
155317,38.9574,-95.2459
155335,37.6723,-97.3788
155399,39.1886,-96.5811
155414,38.8139,-97.6095
155496,39.1858,-96.579
155511,38.3715,-97.6443
155520,38.8726,-94.7826
155627,38.6029,-95.2638
155636,38.9309,-94.6894
155681,37.3913,-94.7048
155812,39.2773,-94.9069
155900,37.2493,-96.9783
155937,38.2198,-98.21
155973,38.3486,-97.201
156082,39.035,-95.7023
156125,37.7165,-97.2967
156189,37.3351,-82.8751
156213,37.862,-84.6626
156286,38.2191,-85.7049
156295,37.5733,-84.2893
156356,37.769,-87.1115
156365,37.3433,-85.3489
156408,37.6451,-84.7792
156417,36.7252,-83.7277
156541,36.7365,-84.1624
156620,37.7404,-84.3014
156745,38.2079,-84.5546
157030,37.6043,-83.4377
157058,38.2011,-84.8555
157076,37.7447,-87.122
157085,38.0281,-84.5107
157100,38.339,-82.9469
157216,37.1019,-85.2999
157289,38.2158,-85.7588
157377,38.1444,-84.6793
157386,38.1885,-83.4297
157401,36.6124,-88.3235
157447,39.0292,-84.466
157535,37.4788,-82.5203
157757,38.2432,-85.7596
157809,39.023,-84.5689
157818,38.0532,-84.4939
157863,36.8691,-83.888
157951,36.9857,-86.4559
158477,32.483,-93.7315
158802,29.9965,-90.0653
159009,32.5227,-92.7174
159373,29.9573,-90.0831
159382,31.1786,-92.4144
159391,30.5521,-91.1967
159416,32.4288,-93.7038
159568,31.3223,-92.4256
159647,32.5255,-92.6496
159656,29.9361,-90.1204
159717,30.1808,-93.2156
159939,30.0285,-90.0685
159966,29.7927,-90.8029
159993,32.528,-92.0739
160038,31.7507,-93.0977
160065,29.9125,-89.9971
160409,30.5268,-90.1136
160612,30.5136,-90.4686
160621,30.5246,-91.1901
160630,30.0267,-90.0444
160658,30.2153,-92.0194
160755,29.9397,-90.1204
160904,29.9642,-90.1073
160959,44.3996,-68.2288
160977,44.1053,-70.2033
161004,43.9071,-69.9639
161086,44.5642,-69.6634
161165,44.8289,-68.7913
161217,44.3377,-69.7964
161226,44.668,-70.1475
161235,47.2503,-68.5884
161244,44.7099,-67.4565
161253,44.896,-68.6738
161299,44.3873,-68.8032
161341,46.6724,-68.0165
161457,43.4582,-70.3859
161509,43.6537,-70.262
161518,43.8265,-70.4835
161554,43.6626,-70.276
161563,44.524,-69.6629
161572,44.6032,-69.3323
161873,39.3058,-76.6166
162007,39.0182,-76.7597
162061,39.047,-76.8514
162210,38.9872,-77.0013
162283,39.3108,-76.6585
162584,39.6515,-78.9339
162654,39.4102,-76.5948
162760,39.4219,-77.4193
162928,39.3284,-76.6208
163046,39.346,-76.6234
163204,38.9863,-76.9541
163259,39.2913,-76.625
163268,39.2567,-76.7116
163286,38.9886,-76.9397
163295,39.3088,-76.621
163338,38.2112,-75.6872
163453,39.3442,-76.5842
163462,39.6806,-77.3522
163532,39.3878,-76.7518
163578,39.3513,-76.6197
163851,38.3454,-75.6057
163912,38.1886,-76.4257
